date,price
2023-12-17,2.922
2023-12-18,2.94
2023-12-19,2.915
2023-12-20,2.937
2023-12-21,2.911
2023-12-22,2.932
2023-12-23,2.93
2023-12-24,2.92
2023-12-25,2.923
2023-12-26,2.949
2023-12-27,2.935
2023-12-28,2.913
2023-12-29,2.914
2023-12-30,2.898
2023-12-31,2.875
